Time (s),DIO 0
-10.35745857,0
-10.35662524,0
-10.355791910000001,0
-10.35495858,0
-10.354125250000001,0
-10.35329192,0
-10.352458589999999,0
-10.35162526,1
-10.35079193,1
-10.349958600000001,1
-10.34912527,1
-10.348291940000001,1
-10.34745861,1
-10.34662528,1
-10.345791950000001,1
-10.34495862,1
-10.344125290000001,1
-10.34329196,0
-10.342458629999999,0
-10.3416253,0
-10.34079197,0
-10.339958640000001,0
-10.33912531,0
-10.338291980000001,0
-10.33745865,0
-10.33662532,0
-10.335791990000001,0
-10.33495866,1
-10.334125330000001,1
-10.333292,1
-10.332458669999999,1
-10.33162534,1
-10.33079201,1
-10.329958680000001,1
-10.32912535,1
-10.328292020000001,1
-10.32745869,1
-10.32662536,0
-10.325792030000001,0
-10.3249587,0
-10.324125370000001,0
-10.32329204,0
-10.322458709999999,0
-10.32162538,0
-10.32079205,0
-10.319958720000001,0
-10.31912539,0
-10.318292060000001,1
-10.31745873,1
-10.3166254,1
-10.315792070000001,1
-10.31495874,1
-10.314125410000001,1
-10.31329208,1
-10.312458750000001,1
-10.31162542,1
-10.31079209,1
-10.309958760000001,0
-10.30912543,0
-10.308292100000001,0
-10.30745877,0
-10.306625439999999,0
-10.305792110000001,0
-10.30495878,0
-10.304125450000001,0
-10.30329212,0
-10.302458790000001,0
-10.30162546,1
-10.30079213,1
-10.299958800000001,1
-10.29912547,1
-10.298292140000001,1
-10.29745881,1
-10.296625479999999,1
-10.29579215,1
-10.29495882,1
-10.294125490000001,1
-10.29329216,0
-10.292458830000001,0
-10.2916255,0
-10.29079217,0
-10.289958840000001,0
-10.28912551,0
-10.288292180000001,0
-10.28745885,0
-10.286625519999999,0
-10.28579219,0
-10.28495886,1
-10.284125530000001,1
-10.2832922,1
-10.282458870000001,1
-10.28162554,1
-10.28079221,1
-10.279958880000001,1
-10.27912555,1
-10.278292220000001,1
-10.27745889,1
-10.276625559999999,0
-10.27579223,0
-10.2749589,0
-10.274125570000001,0
-10.27329224,0
-10.272458910000001,0
-10.27162558,0
-10.27079225,0
-10.269958920000001,0
-10.26912559,0
-10.268292260000001,1
-10.26745893,1
-10.266625600000001,1
-10.26579227,1
-10.26495894,1
-10.264125610000001,1
-10.26329228,1
-10.262458950000001,1
-10.26162562,1
-10.260792289999999,1
-10.259958960000001,0
-10.25912563,0
-10.258292300000001,0
-10.25745897,0
-10.256625640000001,0
-10.25579231,0
-10.25495898,0
-10.254125650000001,0
-10.25329232,0
-10.252458990000001,0
-10.25162566,1
-10.250792329999999,1
-10.249959,1
-10.24912567,1
-10.248292340000001,1
-10.24745901,1
-10.246625680000001,1
-10.24579235,1
-10.24495902,1
-10.244125690000001,1
-10.24329236,0
-10.242459030000001,0
-10.2416257,0
-10.240792369999999,0
-10.23995904,0
-10.23912571,0
-10.238292380000001,0
-10.23745905,0
-10.236625720000001,0
-10.23579239,0
-10.23495906,1
-10.234125730000001,1
-10.2332924,1
-10.232459070000001,1
-10.23162574,1
-10.230792409999999,1
-10.22995908,1
-10.22912575,1
-10.228292420000001,1
-10.22745909,1
-10.226625760000001,0
-10.22579243,0
-10.2249591,0
-10.224125770000001,0
-10.22329244,0
-10.222459110000001,0
-10.22162578,0
-10.220792450000001,0
-10.21995912,0
-10.21912579,0
-10.218292460000001,1
-10.21745913,1
-10.216625800000001,1
-10.21579247,1
-10.214959139999999,1
-10.214125810000001,1
-10.21329248,1
-10.212459150000001,1
-10.21162582,1
-10.210792490000001,1
-10.20995916,0
-10.20912583,0
-10.208292500000001,0
-10.20745917,0
-10.206625840000001,0
-10.20579251,0
-10.204959179999999,0
-10.20412585,0
-10.20329252,0
-10.202459190000001,0
-10.20162586,1
-10.200792530000001,1
-10.1999592,1
-10.19912587,1
-10.198292540000001,1
-10.19745921,1
-10.196625880000001,1
-10.19579255,1
-10.194959219999999,1
-10.19412589,1
-10.19329256,0
-10.192459230000001,0
-10.1916259,0
-10.190792570000001,0
-10.18995924,0
-10.18912591,0
-10.188292580000001,0
-10.18745925,0
-10.186625920000001,0
-10.18579259,0
-10.184959259999999,1
-10.18412593,1
-10.1832926,1
-10.182459270000001,1
-10.18162594,1
-10.180792610000001,1
-10.17995928,1
-10.17912595,1
-10.178292620000001,1
-10.17745929,1
-10.176625960000001,0
-10.17579263,0
-10.174959299999999,0
-10.17412597,0
-10.17329264,0
-10.172459310000001,0
-10.17162598,0
-10.170792650000001,0
-10.16995932,0
-10.16912599,0
-10.168292660000001,1
-10.16745933,1
-10.166626000000001,1
-10.16579267,1
-10.164959340000001,1
-10.16412601,1
-10.16329268,1
-10.162459350000001,1
-10.16162602,1
-10.160792690000001,1
-10.15995936,0
-10.159126029999999,0
-10.158292700000001,0
-10.15745937,0
-10.156626040000001,0
-10.15579271,0
-10.154959380000001,0
-10.15412605,0
-10.15329272,0
-10.152459390000001,0
-10.15162606,1
-10.150792730000001,1
-10.1499594,1
-10.149126069999999,1
-10.14829274,1
-10.14745941,1
-10.146626080000001,1
-10.14579275,1
-10.144959420000001,1
-10.14412609,1
-10.14329276,0
-10.142459430000001,0
-10.1416261,0
-10.140792770000001,0
-10.13995944,0
-10.139126109999999,0
-10.13829278,0
-10.13745945,0
-10.136626120000001,0
-10.13579279,0
-10.134959460000001,1
-10.13412613,1
-10.1332928,1
-10.132459470000001,1
-10.13162614,1
-10.130792810000001,1
-10.12995948,1
-10.129126149999999,1
-10.12829282,1
-10.12745949,1
-10.126626160000001,0
-10.12579283,0
-10.124959500000001,0
-10.12412617,0
-10.12329284,0
-10.122459510000001,0
-10.12162618,0
-10.120792850000001,0
-10.11995952,0
-10.119126190000001,0
-10.11829286,1
-10.11745953,1
-10.116626200000001,1
-10.11579287,1
-10.114959540000001,1
-10.11412621,1
-10.113292879999999,1
-10.112459550000001,1
-10.11162622,1
-10.110792890000001,1
-10.10995956,0
-10.109126230000001,0
-10.1082929,0
-10.10745957,0
-10.106626240000001,0
-10.10579291,0
-10.104959580000001,0
-10.10412625,0
-10.103292919999999,0
-10.10245959,0
-10.10162626,1
-10.100792930000001,1
-10.0999596,1
-10.099126270000001,1
-10.09829294,1
-10.09745961,1
-10.096626280000001,1
-10.09579295,1
-10.094959620000001,1
-10.09412629,1
-10.093292959999999,0
-10.09245963,0
-10.0916263,0
-10.090792970000001,0
-10.08995964,0
-10.089126310000001,0
-10.08829298,0
-10.08745965,0
-10.086626320000001,0
-10.08579299,0
-10.084959660000001,1
-10.08412633,1
-10.083292999999999,1
-10.08245967,1
-10.08162634,1
-10.080793010000001,1
-10.07995968,1
-10.079126350000001,1
-10.07829302,1
-10.07745969,1
-10.076626360000001,0
-10.07579303,0
-10.074959700000001,0
-10.07412637,0
-10.073293039999999,0
-10.07245971,0
-10.07162638,0
-10.070793050000001,0
-10.06995972,0
-10.069126390000001,0
-10.06829306,1
-10.067459729999999,1
-10.066626400000001,1
-10.06579307,1
-10.064959740000001,1
-10.06412641,1
-10.063293080000001,1
-10.06245975,1
-10.06162642,1
-10.060793090000001,1
-10.05995976,0
-10.059126430000001,0
-10.0582931,0
-10.057459769999999,0
-10.05662644,0
-10.05579311,0
-10.054959780000001,0
-10.05412645,0
-10.053293120000001,0
-10.05245979,0
-10.05162646,1
-10.050793130000001,1
-10.0499598,1
-10.049126470000001,1
-10.04829314,1
-10.047459809999999,1
-10.04662648,1
-10.04579315,1
-10.044959820000001,1
-10.04412649,1
-10.043293160000001,0
-10.04245983,0
-10.0416265,0
-10.040793170000001,0
-10.03995984,0
-10.039126510000001,0
-10.03829318,0
-10.037459849999999,0
-10.03662652,0
-10.03579319,0
-10.034959860000001,1
-10.03412653,1
-10.033293200000001,1
-10.03245987,1
-10.03162654,1
-10.030793210000001,1
-10.02995988,1
-10.029126550000001,1
-10.02829322,1
-10.027459889999999,1
-10.02662656,0
-10.02579323,0
-10.024959900000001,0
-10.02412657,0
-10.023293240000001,0
-10.02245991,0
-10.02162658,0
-10.020793250000001,0
-10.01995992,0
-10.019126590000001,0
-10.01829326,1
-10.017459930000001,1
-10.0166266,1
-10.01579327,1
-10.014959940000001,1
-10.01412661,1
-10.013293280000001,1
-10.01245995,1
-10.011626619999999,1
-10.010793290000001,1
-10.00995996,0
-10.009126630000001,0
-10.0082933,0
-10.007459970000001,0
-10.00662664,0
-10.00579331,0
-10.004959980000001,0
-10.00412665,0
-10.003293320000001,0
-10.00245999,0
-10.001626659999999,1
-10.00079333,1
-9.9999599999999997,1
-9.9991266700000008,1
-9.99829334,1
-9.9974600100000011,1
-9.9966266800000003,1
-9.9957933499999996,1
-9.9949600200000006,1
-9.9941266899999999,1
-9.9932933600000009,0
-9.9924600300000002,0
-9.9916266999999994,0
-9.9907933700000005,0
-9.9899600399999997,0
-9.9891267100000007,0
-9.98829338,0
-9.987460050000001,0
-9.9866267200000003,0
-9.9857933899999995,0
-9.9849600600000006,1
-9.9841267299999998,1
-9.9832934000000009,1
-9.9824600700000001,1
-9.9816267399999994,1
-9.9807934100000004,1
-9.9799600799999997,1
-9.9791267500000007,1
-9.97829342,1
-9.977460090000001,1
-9.9766267600000003,0
-9.9757934299999995,0
-9.9749601000000006,0
-9.9741267699999998,0
-9.9732934400000008,0
-9.9724601100000001,0
-9.9716267800000011,0
-9.9707934500000004,0
-9.9699601199999996,0
-9.9691267900000007,0
-9.9682934599999999,1
-9.967460130000001,1
-9.9666268000000002,1
-9.9657934699999995,1
-9.9649601400000005,1
-9.9641268099999998,1
-9.9632934800000008,1
-9.9624601500000001,1
-9.9616268200000011,1
-9.9607934900000004,1
-9.9599601599999996,0
-9.9591268300000007,0
-9.9582934999999999,0
-9.9574601700000009,0
-9.9566268400000002,0
-9.9557935099999995,0
-9.9549601800000005,0
-9.9541268499999997,0
-9.9532935200000008,0
-9.95246019,0
-9.9516268600000011,1
-9.9507935300000003,1
-9.9499601999999996,1
-9.9491268700000006,1
-9.9482935399999999,1
-9.9474602100000009,1
-9.9466268800000002,1
-9.9457935499999994,1
-9.9449602200000005,1
-9.9441268899999997,1
-9.9432935600000008,0
-9.94246023,0
-9.941626900000001,0
-9.9407935700000003,0
-9.9399602399999996,0
-9.9391269100000006,0
-9.9382935799999998,0
-9.9374602500000009,0
-9.9366269200000001,0
-9.9357935899999994,0
-9.9349602600000004,1
-9.9341269299999997,1
-9.9332936000000007,1
-9.93246027,1
-9.931626940000001,1
-9.9307936100000003,1
-9.9299602799999995,1
-9.9291269500000006,1
-9.9282936199999998,1
-9.9274602900000009,1
-9.9266269600000001,0
-9.9257936299999994,0
-9.9249603000000004,0
-9.9241269699999997,0
-9.9232936400000007,0
-9.92246031,0
-9.921626980000001,0
-9.9207936500000002,0
-9.9199603199999995,0
-9.9191269900000005,0
-9.9182936599999998,1
-9.9174603300000008,1
-9.9166270000000001,1
-9.9157936700000011,1
-9.9149603400000004,1
-9.9141270099999996,1
-9.9132936800000007,1
-9.9124603499999999,1
-9.911627020000001,1
-9.9107936900000002,1
-9.9099603599999995,0
-9.9091270300000005,0
-9.9082936999999998,0
-9.9074603700000008,0
-9.9066270400000001,0
-9.9057937100000011,0
-9.9049603800000003,0
-9.9041270499999996,0
-9.9032937200000006,0
-9.9024603899999999,0
-9.9016270600000009,1
-9.9007937300000002,1
-9.8999603999999994,1
-9.8991270700000005,1
-9.8982937399999997,1
-9.8974604100000008,1
-9.89662708,1
-9.8957937500000011,1
-9.8949604200000003,1
-9.8941270899999996,1
-9.8932937600000006,0
-9.8924604299999999,0
-9.8916271000000009,0
-9.8907937700000002,0
-9.8899604399999994,0
-9.8891271100000004,0
-9.8882937799999997,0
-9.8874604500000007,0
-9.88662712,0
-9.885793790000001,0
-9.8849604600000003,1
-9.8841271299999995,1
-9.8832938000000006,1
-9.8824604699999998,1
-9.8816271400000009,1
-9.8807938100000001,1
-9.8799604799999994,1
-9.8791271500000004,1
-9.8782938199999997,1
-9.8774604900000007,1
-9.87662716,0
-9.875793830000001,0
-9.8749605000000003,0
-9.8741271699999995,0
-9.8732938400000005,0
-9.8724605099999998,0
-9.8716271800000008,0
-9.8707938500000001,0
-9.8699605200000011,0
-9.8691271900000004,0
-9.8682938599999996,1
-9.8674605300000007,1
-9.8666271999999999,1
-9.865793870000001,1
-9.8649605400000002,1
-9.8641272099999995,1
-9.8632938800000005,1
-9.8624605499999998,1
-9.8616272200000008,1
-9.8607938900000001,1
-9.8599605600000011,0
-9.8591272300000004,0
-9.8582938999999996,0
-9.8574605700000006,0
-9.8566272399999999,0
-9.8557939100000009,0
-9.8549605800000002,0
-9.8541272499999994,0
-9.8532939200000005,0
-9.8524605899999997,0
-9.8516272600000008,1
-9.85079393,1
-9.8499606000000011,1
-9.8491272700000003,1
-9.8482939399999996,1
-9.8474606100000006,1
-9.8466272799999999,1
-9.8457939500000009,1
-9.8449606200000002,1
-9.8441272899999994,1
-9.8432939600000005,0
-9.8424606299999997,0
-9.8416273000000007,0
-9.84079397,0
-9.839960640000001,0
-9.8391273100000003,0
-9.8382939799999996,0
-9.8374606500000006,0
-9.8366273199999998,0
-9.8357939900000009,0
-9.8349606600000001,1
-9.8341273299999994,1
-9.8332940000000004,1
-9.8324606699999997,1
-9.8316273400000007,1
-9.83079401,1
-9.829960680000001,1
-9.8291273500000003,1
-9.8282940199999995,1
-9.8274606900000006,1
-9.8266273599999998,0
-9.8257940300000008,0
-9.8249607000000001,0
-9.8241273699999994,0
-9.8232940400000004,0
-9.8224607099999997,0
-9.8216273800000007,0
-9.8207940499999999,0
-9.819960720000001,0
-9.8191273900000002,0
-9.8182940599999995,1
-9.8174607300000005,1
-9.8166273999999998,1
-9.8157940700000008,1
-9.8149607400000001,1
-9.8141274100000011,1
-9.8132940800000004,1
-9.8124607499999996,1
-9.8116274200000007,1
-9.8107940899999999,1
-9.8099607600000009,0
-9.8091274300000002,0
-9.8082940999999995,0
-9.8074607700000005,0
-9.8066274399999998,0
-9.8057941100000008,0
-9.80496078,0
-9.8041274500000011,0
-9.8032941200000003,0
-9.8024607899999996,0
-9.8016274600000006,1
-9.8007941299999999,1
-9.7999608000000009,1
-9.7991274700000002,1
-9.7982941399999994,1
-9.7974608100000005,1
-9.7966274799999997,1
-9.7957941500000008,1
-9.79496082,1
-9.794127490000001,1
-9.7932941600000003,0
-9.7924608299999996,0
-9.7916275000000006,0
-9.7907941699999999,0
-9.7899608400000009,0
-9.7891275100000001,0
-9.7882941799999994,0
-9.7874608500000004,0
-9.7866275199999997,0
-9.7857941900000007,0
-9.78496086,1
-9.784127530000001,1
-9.7832942000000003,1
-9.7824608699999995,1
-9.7816275400000006,1
-9.7807942099999998,1
-9.7799608800000009,1
